retention_time,scale,skew,amplitude,area,signal_maximum,peak_id
0.28,0.024555157754720048,-0.009476594821338231,0.7610632066666254,456.63792399997527,12.364520561800195,1
0.31,0.023334481416737565,3.3806591052233608,-1.01170403601818,-607.0224216109079,-0.0,2
0.38,0.04528954779807551,3.638008190009122,2.407408413654674,1444.4450481928047,36.38663711575587,3
1.71,0.013842270122898159,-2.0675852437361133,0.00010746617883065373,0.0644797072983922,0.004646834421541655,4
1.74,0.003977441158455649,0.1993542422080183,7.423664968669248e-06,0.004454198981201543,0.0007521838802999932,5
1.88,0.07251840745485735,1.4230317744556253,0.33868272440083785,203.2096346405027,2.508501657855756,6
2.98,0.005423721008464359,-2.6862883855796733,1.0605490000000003e-05,0.006363294000003774,0.001243330841518572,7
3.02,0.005682889381538401,-8.259780924976507,8.340000000000001e-06,0.004994639138256939,0.0011138850913385734,8
3.32,0.10860735366335336,1.4659568741807563,0.07579269345964705,45.47561607578823,0.37813459896133245,9
3.75,0.004144497657950831,1.133366145066057,2.2390000000000004e-05,0.013434000000000154,0.002690969396878819,10
3.79,0.0027824769921251866,0.1741673235786325,8.960000000000002e-06,0.005376000000000056,0.0012803377714127064,11
3.91,0.091666666666665,83.78292280344449,2.4340000000000004e-05,0.014603999999999834,0.00021154466594862836,12
4.04,0.019999999999999792,31.356457254015027,1.6150000000000003e-05,0.009690000000001106,0.0006391775797365405,13
4.07,0.07999999999613407,4.8193546332272,0.001141331304929996,0.6847987829579976,0.010234769653872818,14
5.9,0.049999999999999815,12.978497718457595,0.00019142656785126264,0.1148559407107576,0.0029790345750749163,15
