folder,file,sha256,feature_id,feature_type,feature_type_cn,status,status_cn,sign,template_slot,component,apex_time_min,start_time_min,end_time_min,width_min,fwhm_min,top_width_ratio,height,prominence,relative_prominence,snr,area,symmetry,bilateral_depth,bilateral_depth_relative,signed_depth_relative,baseline_change_ratio,width_ratio_to_template,rt_error_min,confidence,reasons
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,16,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,3.93333333333333,3.895,3.98666666666667,0.0901249305621011,0.04256512488794864,0.27128582586027306,298.5511891026734,322.7938926712615,0.11701164990436116,520.3243666611078,11.738927635815928,0.8190298515905665,293.471716919913,0.10638246440441998,0.10822375519164502,0.08440730915137241,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,25,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,6.14,6.13666666666667,6.16166666666667,0.024159891313585487,0.011988339087520793,0.1969889905680843,4.004199008144363,2.258312919559865,0.0008186304843975161,26.282260016567108,0.07118438325821964,0.09656194764559255,0.0,0.0,0.0014515080462366276,0.2699820988297246,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,27,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,6.53333333333333,6.50166666666667,6.56833333333333,0.06566100188598288,0.03561929184667139,0.28829296063159826,407.7486420639953,404.64512155742904,0.14668243227081657,2920.111875467269,14.623157540739376,0.9594613152173979,396.9841567207786,0.14390535948304642,0.14780744753049244,0.0009336563500961552,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,28,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,6.66666666666667,6.63166666666667,6.70166666666667,0.06688423269071175,0.03608573010343022,0.287329080164618,410.53435785107695,417.6985892021075,0.15141426834564764,5150.144891030304,14.618249908898806,0.9974953135464651,409.06393470562716,0.14828423648343939,0.14881725969798287,0.0008763635137164003,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,30,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,7.76666666666667,7.705,7.825,0.11820848024351693,0.04720702316990303,0.26365606897425437,423.8447526149706,426.9866376203158,0.15478115320462782,5985.265551019276,21.71641307188436,0.7618257065271642,350.9348821038957,0.1272126595213776,0.15364223094918225,0.0022421013441678056,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,32,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,9.06666666666667,9.00333333333333,9.13,0.12502908969881257,0.05182339863821957,0.25786162252823397,417.46016092441477,426.07849015631086,0.154451952945477,8037.701406254857,23.443524772141547,0.8798341335801994,342.7946074502156,0.12426183861203716,0.15132783893421792,0.015796504247479304,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H1-信号干扰向上谱图.CSV,a57ba69be43575b3f0dd7b771ff8422beac975c774f6672ad90796ef8a8d55aa,34,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,9.86666666666667,9.81333333333333,9.92833333333333,0.11430063947441543,0.04278977608311158,0.27169212229600553,399.7130504095097,403.0091023613031,0.14608938107077774,5797.172064964948,18.659546350155857,0.8790661659659562,333.5913764134193,0.1209256997552736,0.14489457383989057,0.02968006700848488,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H2-信号干扰向下干扰.CSV,d22180feb47e7ee5a558e1be4f954a968a102abc5d3baf76235bcc7435f7a0c1,1,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T2,,0.465,0.411666666666667,0.528333333333333,0.11523227039530914,0.05795166860760101,0.26236873298472724,8.461344575215719,4.125396659460366,0.038584597335583955,47.87536364819411,0.7434931862946504,0.5767841079283269,3.5691808354978303,0.033382342771756925,0.0791384684436701,0.0319982013652927,0.2893957711615999,0.019999999999999962,0.46648770916995985,rt_score=0.56;width_ratio=0.29;symmetry=0.58;snr=47.9;narrow_flat_or_asymmetric_vs_reference
5-电信号干扰类型,H2-信号干扰向下干扰.CSV,d22180feb47e7ee5a558e1be4f954a968a102abc5d3baf76235bcc7435f7a0c1,2,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,0.6,0.531666666666667,0.703333333333333,0.17038463213288663,0.09170074295775946,0.2857524841481396,107.79860214718795,108.18608345749219,1.0118582071250453,1255.503049706456,9.773742961895591,0.9823606744163067,84.6733382164501,0.791944855205463,1.0082341167484585,0.00019775813985628798,,,0.0,narrow_or_impulse_like_outside_template
5-电信号干扰类型,H3-C2H2位置受干扰-峰比较对称.CSV,332d5fa256f933934109cc08fdffa578a3b10030c30456c330c29c934a8b20ca,8,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.36333333333333,4.16833333333333,4.475,0.30489656893046685,0.24873637791712097,0.5975462437405908,92.58867543804017,92.79203825025357,0.13596550355657236,3720.4972625174128,21.583937933711173,0.46534687251875806,82.1573933116882,0.12038286434007209,0.13566752187960235,0.008941842369648175,0.7076476905412636,0.11499999999999932,0.569604819392565,rt_score=0.46;width_ratio=0.71;symmetry=0.47;snr=3720.5;narrow_flat_or_asymmetric_vs_reference
